EMIS Code,SchoolName,Year,Gender,LEVEL,District,Tehsil,UCName,BuildingOwnerShip,TotalLand_Allocated,Year of Estbalishment,Year of Construction,Covered_Area,UnCovered_Area,UnCovered_Area_Premis,Whole Building Needs Reconstruction,No of Class Room Need Reconstruction,No of Other Room Need Reconstruction,No of Class Room Need Repair,No of Other Room Need Repair,HT Office,Science Lab,Staff Room,Library,Hostel Availability,Hostel Capacity,Hostel Rooms,Clerk Room,Play Ground/Area,Play Area,No of Pakka Class Rooms,No. Of Pakka Other Rooms,No. of Kacha Class Rooms,No of Kacha Other Rooms,CCTVCameras,ExaminationHall,Ramp Access at Entrance,Ramp Access in Building,Ramp at Toilet,School Name,School Level,Union Council Name,Desks Two Seater Useable,Desks Two Seater Un-Useable,Desks Two Seater New Required,Desks Three Seater Useable,Desks Three Seater Un-Useable,Desks Three Seater New Required,Desk Benches Useable,Desk Benches Un-Useable,Desk Benches New Required,Student Chairs Useable,Student Chairs Un-Useable,Student Chairs New Required,Tablet Chairs Useable,Tablet Chairs Un-Useable,Tablet Chairs New Required,Jute Tats Useable,Jute Tats Un-Useable,Jute Tats New Required,Fans Useable,Fans Un-Useable,Fans New Required,total_teachers,avg_bps_teachers,qualified_teachers,total_non_teachers,Presentbalance,Fund Recieved from Govt in This Year,is_critical
60645,GHSS GHALLANAI,2024-25,Boys,Higher Secondary,MOHMAND,HALIMZAI,HALIMZAI,Govt,1500.0,1975.0,1974.0,750.0,750.0,750.0,No,0.0,0.0,0.0,0.0,No,Available/Equipped/Functional,Yes,Not Available,No,0,0,Yes,Yes,Not Available,16,25,0,0,No,Yes,No,No,No,GHSS GHALLANAI,Higher Secondary,HALIMZAI,170,0,0,0,0,0,159,0,0,0,0,0,450,88,200,0,0,0,57,20,30,26.0,16.307692307692307,0.0,15.0,1502.0,0.0,1
60646,GGHSS GHALLANAI,2024-25,Girls,Higher Secondary,MOHMAND,HALIMZAI,HALIMZAI,Govt,500.0,1977.0,1977.0,360.0,140.0,140.0,No,0.0,0.0,0.0,12.0,No,Available/Equipped/Functional,Yes,Available,Yes,80,12,Yes,Yes,Not Available,10,22,0,0,No,Yes,No,No,No,GGHSS GHALLANAI,Higher Secondary,HALIMZAI,30,10,55,10,5,10,20,5,20,40,0,0,20,0,60,0,0,0,40,0,20,16.0,15.9375,0.0,13.0,0.0,0.0,1
60647,GHS HAJI YAR JAN KALAI,2024-25,Boys,High,MOHMAND,HALIMZAI,HALIMZAI,Govt,89.0,1976.0,1975.0,54.0,53.0,53.0,No,0.0,0.0,0.0,0.0,Yes,Available/Equipped/Functional,Yes,Available,No,0,0,Yes,No,Not Available,6,8,0,0,No,Yes,Yes,Yes,Yes,GHS HAJI YAR JAN KALAI,High,HALIMZAI,70,20,0,0,0,0,70,20,0,0,0,0,51,50,50,0,0,0,66,0,0,11.0,15.636363636363637,0.0,6.0,0.0,0.0,1
60648,GHS HAMID KHAN,2024-25,Boys,High,MOHMAND,HALIMZAI,HALIMZAI,Govt,160.0,1995.0,1993.0,35.0,125.0,125.0,No,0.0,0.0,0.0,0.0,No,Available/Equipped/NonFunctional,Yes,Not Available,No,0,0,Yes,No,Not Available,6,6,0,0,No,No,No,No,No,GHS HAMID KHAN,High,HALIMZAI,92,0,30,0,0,0,97,10,30,0,0,0,130,35,0,0,0,0,28,0,10,13.0,15.461538461538462,0.0,8.0,201499.0,0.0,1
60649,GHS YOUSAF KHEL,2024-25,Boys,High,MOHMAND,HALIMZAI,HALIMZAI,Govt,510.0,1976.0,1975.0,74.0,449.0,386.0,No,0.0,0.0,0.0,0.0,No,Available/Equipped/NonFunctional,Yes,Not Available,No,0,0,No,Yes,Not Available,8,21,0,0,No,Yes,No,No,No,GHS YOUSAF KHEL,High,HALIMZAI,86,34,0,0,0,0,86,34,0,0,0,0,150,50,0,0,0,0,54,0,0,15.0,15.466666666666667,0.0,8.0,999.0,0.0,1
60650,GHS NAHAQI,2024-25,Boys,High,MOHMAND,HALIMZAI,HALIMZAI,Govt,184.0,1973.0,1987.0,24.0,160.0,160.0,No,0.0,0.0,0.0,0.0,Yes,Available/Equipped/Functional,Yes,Available/NotEquipped,No,0,0,Yes,No,Not Available,6,6,0,0,No,Yes,No,No,No,GHS NAHAQI,High,HALIMZAI,100,0,80,0,0,0,99,0,81,0,0,0,210,40,120,0,0,0,20,2,25,12.0,15.833333333333334,0.0,6.0,61738.0,0.0,1
60651,GHS SANDU KHEL,2024-25,Boys,High,MOHMAND,SAFI,SAFI,Govt,142.0,1974.0,1974.0,49.0,93.0,93.0,No,0.0,0.0,0.0,0.0,Yes,Available/NotEquipped,Yes,Not Available,No,0,0,Yes,No,Not Available,7,6,0,0,No,No,Yes,Yes,Yes,GHS SANDU KHEL,High,SAFI,20,12,0,0,0,0,0,0,0,0,0,0,320,60,200,0,0,0,77,30,15,11.0,15.545454545454545,0.0,6.0,499.0,160000.0,1
60652,GHS QAMAR DIN KORE,2024-25,Boys,High,MOHMAND,SAFI,SAFI,Shelterless,301.0,1974.0,1975.0,0.0,301.0,301.0,Yes,,,,,No,Not Available,No,Not Available,No,0,0,No,No,Not Available,0,0,0,0,No,No,No,No,No,GHS QAMAR DIN KORE,High,SAFI,0,0,0,0,0,0,0,0,0,0,0,0,50,20,200,0,0,0,0,0,0,10.0,15.8,0.0,4.0,9751.0,0.0,1
60653,GHS LAKARAI,2024-25,Boys,High,MOHMAND,SAFI,SAFI,Govt,310.0,1973.0,1973.0,40.0,270.0,270.0,No,0.0,0.0,0.0,0.0,Yes,Not Available,Yes,Not Available,No,0,0,Yes,No,Not Available,8,5,0,0,No,Yes,Yes,No,No,GHS LAKARAI,High,SAFI,8,0,80,0,0,0,20,0,80,0,0,0,250,30,100,0,0,0,58,0,0,14.0,15.285714285714286,0.0,7.0,3500.0,0.0,1
60654,GHS KOG PAND,2024-25,Boys,High,MOHMAND,SAFI,SAFI,Govt,160.0,1984.0,1984.0,30.0,130.0,130.0,No,0.0,0.0,0.0,0.0,Yes,Not Available,Yes,Not Available,No,0,0,Yes,No,Not Available,4,5,0,0,No,No,No,No,No,GHS KOG PAND,High,SAFI,0,0,20,0,0,0,0,0,20,0,0,0,72,0,40,0,0,0,48,0,0,10.0,15.7,0.0,6.0,799.0,0.0,1
